,id,raw_text,vw_text
0,doc_0,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,doc_0 |@text go:1 until:1 jurong:1 point:1 crazy:1 available:1 only:1 in:1 bugis:1 n:1 great:1 world:1 la:1 e:1 buffet:1 cine:1 there:1 got:1 amore:1 wat:1
1,doc_1,ok lar joking wif u oni,doc_1 |@text ok:1 lar:1 joking:1 wif:1 u:1 oni:1
2,doc_2,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's,doc_2 |@text free:1 entry:2 in:1 2:1 a:1 wkly:1 comp:1 to:3 win:1 fa:2 cup:1 final:1 tkts:1 21st:1 may:1 2005:1 text:1 87121:1 receive:1 question(std:1 txt:1 rate)t&c's:1 apply:1 08452810075over18's:1
3,doc_3,u dun say so early hor u c already then say,doc_3 |@text u:2 dun:1 say:2 so:1 early:1 hor:1 c:1 already:1 then:1
4,doc_4,nah i don't think he goes to usf he lives around here though,doc_4 |@text nah:1 i:1 don't:1 think:1 he:2 goes:1 to:1 usf:1 lives:1 around:1 here:1 though:1
5,doc_5,freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send £150 to rcv,doc_5 |@text freemsg:1 hey:1 there:1 darling:1 it's:1 been:1 3:1 week's:1 now:1 and:1 no:1 word:1 back!:1 i'd:1 like:1 some:1 fun:1 you:1 up:1 for:1 it:1 still?:1 tb:1 ok!:1 xxx:1 std:1 chgs:1 to:2 send:1 £150:1 rcv:1
6,doc_6,even my brother is not like to speak with me they treat me like aids patent,doc_6 |@text even:1 my:1 brother:1 is:1 not:1 like:2 to:1 speak:1 with:1 me:2 they:1 treat:1 aids:1 patent:1
7,doc_7,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers press *9 to copy your friends callertune,doc_7 |@text as:2 per:1 your:3 request:1 'melle:1 melle:1 (oru:1 minnaminunginte:1 nurungu:1 vettam)':1 has:1 been:1 set:1 callertune:2 for:1 all:1 callers:1 press:1 *9:1 to:1 copy:1 friends:1
8,doc_8,winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461 claim code kl341 valid 12 hours only,doc_8 |@text winner!!:1 as:1 a:1 valued:1 network:1 customer:1 you:1 have:1 been:1 selected:1 to:2 receivea:1 £900:1 prize:1 reward!:1 claim:2 call:1 09061701461:1 code:1 kl341:1 valid:1 12:1 hours:1 only:1
9,doc_9,had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,doc_9 |@text had:1 your:1 mobile:2 11:1 months:1 or:1 more?:1 u:1 r:1 entitled:1 to:2 update:2 the:2 latest:1 colour:1 mobiles:1 with:1 camera:1 for:1 free!:1 call:1 co:1 free:1 on:1 08002986030:1
10,doc_10,i'm gonna be home soon and i don't want to talk about this stuff anymore tonight k? i've cried enough today,doc_10 |@text i'm:1 gonna:1 be:1 home:1 soon:1 and:1 i:1 don't:1 want:1 to:1 talk:1 about:1 this:1 stuff:1 anymore:1 tonight:1 k?:1 i've:1 cried:1 enough:1 today:1
